un,Rk,PLAYER,POSITION,AGE,MP
99,142,Draymond Green,PF,26,32.5
98,140,Cody Zeller,PF,24,27.8
97,139,Tyreke Evans,SF,27,19.7
96,136,Wayne Ellington,SG,29,24.2
95,135,Marco Belinelli,SG,30,24
94,134,Marcus Smart,SG,22,30.4
93,133,Nikola Mirotic,PF,25,24
92,132,Buddy Hield,SG,23,23
91,129,Allen Crabbe,SG,24,28.5
90,128,Courtney Lee,SG,31,31.9
9,12,Kevin Durant,SF,28,33.4
89,126,Marcin Gortat,C,32,31.2
88,125,Taj Gibson,PF,31,25.5
87,124,Justise Winslow,SF,20,34.7
86,123,J.J. Barea,PG,32,22
85,122,Thaddeus Young,PF,28,30.2
84,120,Terrence Ross,SF,25,25.1
83,119,Emmanuel Mudiay,PG,20,25.6
82,116,Jerryd Bayless,PG,28,23.7
81,115,Ricky Rubio,PG,26,32.9
80,113,Steven Adams,C,23,29.9
8,11,Kyrie Irving,PG,24,35.1
79,112,Greg Monroe,C,26,22.5
78,111,Frank Kaminsky,C,23,26.1
77,110,Trevor Ariza,SF,31,34.7
76,108,Jonas Valanciunas,C,24,25.8
75,107,Austin Rivers,SG,24,27.8
74,106,Jamal Crawford,SG,36,26.3
73,105,Pau Gasol,C,36,25.4
72,101,Aaron Gordon,SF,21,28.7
71,99,Elfrid Payton,PG,22,29.4
70,93,Nick Young,SG,31,25.9
7,10,Stephen Curry,PG,28,33.4
69,92,Julius Randle,PF,22,28.8
68,91,Darren Collison,PG,29,30.3
67,88,Dwight Howard,C,31,29.7
66,85,Tyler Johnson,PG,24,29.8
65,83,Will Barton,SG,26,28.4
64,82,Kentavious Caldwell-Pope,SG,23,33.3
63,81,Jae Crowder,SF,26,32.4
62,80,Markieff Morris,PF,27,31.2
61,79,Marcus Morris,SF,27,32.5
60,78,Al Horford,C,30,32.3
6,9,Kawhi Leonard,SF,25,33.4
59,77,Rudy Gobert,C,24,33.9
58,76,Zach Randolph,PF,35,24.5
57,74,Dirk Nowitzki,PF,38,26.4
56,73,Enes Kanter,C,24,21.3
55,71,Myles Turner,C,20,31.4
54,70,Jeremy Lin,PG,28,24.5
53,67,Nikola Vucevic,C,26,28.8
52,66,Khris Middleton,SF,25,30.7
51,65,Jordan Clarkson,SG,24,29.2
50,63,Gary Harris,SG,22,31.3
5,8,LeBron James,SF,32,37.8
49,61,Nicolas Batum,SG,28,34
48,60,Jeff Teague,PG,28,32.4
47,59,Jrue Holiday,PG,26,32.7
46,58,D'Angelo Russell,PG,20,28.7
45,57,Wilson Chandler,SF,29,30.9
44,56,Dion Waiters,SG,25,30.1
43,55,Victor Oladipo,SG,24,33.2
42,54,Tobias Harris,PF,24,31.3
41,53,Eric Gordon,SG,28,31
40,51,Nikola Jokic,C,21,27.9
4,7,Damian Lillard,PG,26,35.9
39,50,George Hill,PG,30,31.5
38,48,Evan Fournier,SG,24,32.9
37,47,LaMarcus Aldridge,PF,31,32.4
36,45,Dennis Schroder,PG,23,31.5
35,44,Derrick Rose,PG,28,32.5
34,43,Kristaps Porzingis,PF,21,32.8
33,42,Chris Paul,PG,31,31.5
32,41,Paul Millsap,PF,31,34
31,40,Danilo Gallinari,SF,28,33.9
30,39,Dwyane Wade,SG,35,29.9
3,6,DeMarcus Cousins,C,26,34.2
29,37,Zach LaVine,SG,21,37.2
28,36,Kevin Love,PF,28,31.4
27,34,Marc Gasol,C,32,34.2
26,33,Jabari Parker,PF,21,33.9
25,32,Joel Embiid,C,22,25.4
24,31,Goran Dragic,PG,30,33.7
238,475,Alonzo Gee,SF,29,6.8
237,460,Jordan Mickey,PF,22,5.6
236,459,Ryan Kelly,PF,25,6.9
235,457,Bruno Caboclo,SF,21,4.4
234,455,Nick Collison,PF,36,6.4
233,454,Cole Aldrich,C,28,8.6
232,452,Lamar Patterson,SG,25,8
231,446,Udonis Haslem,C,36,8.1
230,442,Rakeem Christmas,PF,25,7.6
23,29,Mike Conley,PG,29,33.2
229,437,James Young,SG,21,7.6
228,435,Greivis Vasquez,PG,30,13
227,432,Mike Scott,PF,28,10.8
226,431,Miles Plumlee,C,28,10.8
225,428,DeAndre Liggins,SG,28,12.5
